Technology ID,Technology Name,Problem,Solution,Benefits/Advantages,Potential Commercial Applications,Technology Categories,Associated Researcher(s),Post date,IP Status,Number (if available),IP Status Text,Tags,Inquiries,Edit Record,f_tech name+gtrcID,GTRC Page,Assessment,Form Link to Express Interest
6478,A Method for Exhaustive CRISPR Off-Target Analysis ,"A method for identifying off-target sites for research and the study of human diseases
Georgia Tech inventors have developed an exhaustive means to search for possible on- and off-target cleavage sites for nucleotide-directed nucleases, such as CRISPR.  CRISPR genome editing is currently being used across the globe in academic and corporate research labs facilitating basic research, making model organisms, and modifying plants and animals. Therapeutic use has been described for many disease indications, with work progressing through pre-clinical to the initiation of clinical trials. For each of these uses, the users are interested in maximizing the intended use and minimizing unintended editing effects, including off-target cleavage events. For all of these uses, it is critical that an exhaustive genome search is conducted to identify sites that may be cleaved by the nuclease or nucleases. 

An exhaustive search for sites that may be cleaved must include both mismatches in sequence and the possibility of differences in length. These single or multiple difference in length between hybridization regions can be thought of or described as “bulges,” “indels” (insertions or deletions), “gaps,” or “skipped bases.” This technology allows the required inclusion of these searches along with searches for sites with mismatches. Numerous labs have verified that these sites can be cleaved and characterized these events (Lin, 2016).

To facilitate these types of searches, Georgia Tech inventors also developed a method for identifying potential CRISPR-Cas9 off-target sites and facilitating their testing. The method enables searching genomes for potential off-target sites based on the user-supplied guide strand and input parameters. The method identifies potential off-target sites with mismatched bases and, unlike other methods, insertions or deletions when compared with the guide strand. The method aids in the identification and quantification of CRISPR-Cas induced off-target cleavage in cells. A search algorithm can scan a genome in seconds and provides web output in table format, with mismatches to the aligned query sequences marked in red. Links are provided to the University of California at Santa Cruz (UCSC) genome browser for each on-target and possible off-target locations to provide additional information on the site and flanking regions. In addition, all results are available for download to an Excel spreadsheet, allowing further analysis, sorting, and oligonucleotide ordering.
","Georgia Tech inventors have developed an exhaustive means to search for possible on- and off-target cleavage sites for nucleotide-directed nucleases, such as CRISPR.  CRISPR genome editing is currently being used across the globe in academic and corporate research labs facilitating basic research, making model organisms, and modifying plants and animals. Therapeutic use has been described for many disease indications, with work progressing through pre-clinical to the initiation of clinical trials. For each of these uses, the users are interested in maximizing the intended use and minimizing unintended editing effects, including off-target cleavage events. For all of these uses, it is critical that an exhaustive genome search is conducted to identify sites that may be cleaved by the nuclease or nucleases. An exhaustive search for sites that may be cleaved must include both mismatches in sequence and the possibility of differences in length. These single or multiple difference in length between hybridization regions can be thought of or described as “bulges,” “indels” (insertions or deletions), “gaps,” or “skipped bases.” This technology allows the required inclusion of these searches along with searches for sites with mismatches. Numerous labs have verified that these sites can be cleaved and characterized these events (Lin, 2016).To facilitate these types of searches, Georgia Tech inventors also developed a method for identifying potential CRISPR-Cas9 off-target sites and facilitating their testing. The method enables searching genomes for potential off-target sites based on the user-supplied guide strand and input parameters. The method identifies potential off-target sites with mismatched bases and, unlike other methods, insertions or deletions when compared with the guide strand. The method aids in the identification and quantification of CRISPR-Cas induced off-target cleavage in cells. A search algorithm can scan a genome in seconds and provides web output in table format, with mismatches to the aligned query sequences marked in red. Links are provided to the University of California at Santa Cruz (UCSC) genome browser for each on-target and possible off-target locations to provide additional information on the site and flanking regions. In addition, all results are available for download to an Excel spreadsheet, allowing further analysis, sorting, and oligonucleotide ordering.","
Provides exhaustive genomic searches for off-target sites due to mismatches, deletions, and insertions
Provides primers for experimental validation of predicted off-target sites
Facilitates experimental testing using assays or deep sequencing of potential off-target sites given in the output

Automatically designs primers to enable facile gel separation of the uncleaved and cleavage bands
Includes the genomic reference sequence for comparison to sequencing results



 ","
Facilitating and creating model systems for research and study of human disease and for sequencing potential off-target mutations
Computational methods to identify, predict, and reduce off-target effects and unintended modifications at off-target sites during genome editing experiments

 ",Biotechnology,"Gang Bao,Thomas J. Cradick,Peng Qiu",3/19/2019,U.S. Application Filed,"US20190295689
US20200058373A1
US10354746B2
",,Biotechnology,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recVwDu5XEPjNHhKm,6478- A Method for Exhaustive CRISPR Off-Target Analysis ,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
6478,A Method for Exhaustive CRISPR Off-Target Analysis ,"A method for identifying off-target sites for research and the study of human diseases
Georgia Tech inventors have developed an exhaustive means to search for possible on- and off-target cleavage sites for nucleotide-directed nucleases, such as CRISPR.  CRISPR genome editing is currently being used across the globe in academic and corporate research labs facilitating basic research, making model organisms, and modifying plants and animals. Therapeutic use has been described for many disease indications, with work progressing through pre-clinical to the initiation of clinical trials. For each of these uses, the users are interested in maximizing the intended use and minimizing unintended editing effects, including off-target cleavage events. For all of these uses, it is critical that an exhaustive genome search is conducted to identify sites that may be cleaved by the nuclease or nucleases. 

An exhaustive search for sites that may be cleaved must include both mismatches in sequence and the possibility of differences in length. These single or multiple difference in length between hybridization regions can be thought of or described as “bulges,” “indels” (insertions or deletions), “gaps,” or “skipped bases.” This technology allows the required inclusion of these searches along with searches for sites with mismatches. Numerous labs have verified that these sites can be cleaved and characterized these events (Lin, 2016).

To facilitate these types of searches, Georgia Tech inventors also developed a method for identifying potential CRISPR-Cas9 off-target sites and facilitating their testing. The method enables searching genomes for potential off-target sites based on the user-supplied guide strand and input parameters. The method identifies potential off-target sites with mismatched bases and, unlike other methods, insertions or deletions when compared with the guide strand. The method aids in the identification and quantification of CRISPR-Cas induced off-target cleavage in cells. A search algorithm can scan a genome in seconds and provides web output in table format, with mismatches to the aligned query sequences marked in red. Links are provided to the University of California at Santa Cruz (UCSC) genome browser for each on-target and possible off-target locations to provide additional information on the site and flanking regions. In addition, all results are available for download to an Excel spreadsheet, allowing further analysis, sorting, and oligonucleotide ordering.
","Georgia Tech inventors have developed an exhaustive means to search for possible on- and off-target cleavage sites for nucleotide-directed nucleases, such as CRISPR.  CRISPR genome editing is currently being used across the globe in academic and corporate research labs facilitating basic research, making model organisms, and modifying plants and animals. Therapeutic use has been described for many disease indications, with work progressing through pre-clinical to the initiation of clinical trials. For each of these uses, the users are interested in maximizing the intended use and minimizing unintended editing effects, including off-target cleavage events. For all of these uses, it is critical that an exhaustive genome search is conducted to identify sites that may be cleaved by the nuclease or nucleases. An exhaustive search for sites that may be cleaved must include both mismatches in sequence and the possibility of differences in length. These single or multiple difference in length between hybridization regions can be thought of or described as “bulges,” “indels” (insertions or deletions), “gaps,” or “skipped bases.” This technology allows the required inclusion of these searches along with searches for sites with mismatches. Numerous labs have verified that these sites can be cleaved and characterized these events (Lin, 2016).To facilitate these types of searches, Georgia Tech inventors also developed a method for identifying potential CRISPR-Cas9 off-target sites and facilitating their testing. The method enables searching genomes for potential off-target sites based on the user-supplied guide strand and input parameters. The method identifies potential off-target sites with mismatched bases and, unlike other methods, insertions or deletions when compared with the guide strand. The method aids in the identification and quantification of CRISPR-Cas induced off-target cleavage in cells. A search algorithm can scan a genome in seconds and provides web output in table format, with mismatches to the aligned query sequences marked in red. Links are provided to the University of California at Santa Cruz (UCSC) genome browser for each on-target and possible off-target locations to provide additional information on the site and flanking regions. In addition, all results are available for download to an Excel spreadsheet, allowing further analysis, sorting, and oligonucleotide ordering.","
Provides exhaustive genomic searches for off-target sites due to mismatches, deletions, and insertions
Provides primers for experimental validation of predicted off-target sites
Facilitates experimental testing using assays or deep sequencing of potential off-target sites given in the output

Automatically designs primers to enable facile gel separation of the uncleaved and cleavage bands
Includes the genomic reference sequence for comparison to sequencing results



 ","
Facilitating and creating model systems for research and study of human disease and for sequencing potential off-target mutations
Computational methods to identify, predict, and reduce off-target effects and unintended modifications at off-target sites during genome editing experiments

 ",Biotechnology,"Gang Bao,Thomas J. Cradick,Peng Qiu",3/19/2019,U.S. Application Filed,"US20190295689
US20200058373A1
US10354746B2
",,Biotechnology,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recPDBhH0saVf3pRJ,6478- A Method for Exhaustive CRISPR Off-Target Analysis ,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
6478,A Method for Exhaustive CRISPR Off-Target Analysis ,"A method for identifying off-target sites for research and the study of human diseases
Georgia Tech inventors have developed an exhaustive means to search for possible on- and off-target cleavage sites for nucleotide-directed nucleases, such as CRISPR.  CRISPR genome editing is currently being used across the globe in academic and corporate research labs facilitating basic research, making model organisms, and modifying plants and animals. Therapeutic use has been described for many disease indications, with work progressing through pre-clinical to the initiation of clinical trials. For each of these uses, the users are interested in maximizing the intended use and minimizing unintended editing effects, including off-target cleavage events. For all of these uses, it is critical that an exhaustive genome search is conducted to identify sites that may be cleaved by the nuclease or nucleases. 

An exhaustive search for sites that may be cleaved must include both mismatches in sequence and the possibility of differences in length. These single or multiple difference in length between hybridization regions can be thought of or described as “bulges,” “indels” (insertions or deletions), “gaps,” or “skipped bases.” This technology allows the required inclusion of these searches along with searches for sites with mismatches. Numerous labs have verified that these sites can be cleaved and characterized these events (Lin, 2016).

To facilitate these types of searches, Georgia Tech inventors also developed a method for identifying potential CRISPR-Cas9 off-target sites and facilitating their testing. The method enables searching genomes for potential off-target sites based on the user-supplied guide strand and input parameters. The method identifies potential off-target sites with mismatched bases and, unlike other methods, insertions or deletions when compared with the guide strand. The method aids in the identification and quantification of CRISPR-Cas induced off-target cleavage in cells. A search algorithm can scan a genome in seconds and provides web output in table format, with mismatches to the aligned query sequences marked in red. Links are provided to the University of California at Santa Cruz (UCSC) genome browser for each on-target and possible off-target locations to provide additional information on the site and flanking regions. In addition, all results are available for download to an Excel spreadsheet, allowing further analysis, sorting, and oligonucleotide ordering.
","Georgia Tech inventors have developed an exhaustive means to search for possible on- and off-target cleavage sites for nucleotide-directed nucleases, such as CRISPR.  CRISPR genome editing is currently being used across the globe in academic and corporate research labs facilitating basic research, making model organisms, and modifying plants and animals. Therapeutic use has been described for many disease indications, with work progressing through pre-clinical to the initiation of clinical trials. For each of these uses, the users are interested in maximizing the intended use and minimizing unintended editing effects, including off-target cleavage events. For all of these uses, it is critical that an exhaustive genome search is conducted to identify sites that may be cleaved by the nuclease or nucleases. An exhaustive search for sites that may be cleaved must include both mismatches in sequence and the possibility of differences in length. These single or multiple difference in length between hybridization regions can be thought of or described as “bulges,” “indels” (insertions or deletions), “gaps,” or “skipped bases.” This technology allows the required inclusion of these searches along with searches for sites with mismatches. Numerous labs have verified that these sites can be cleaved and characterized these events (Lin, 2016).To facilitate these types of searches, Georgia Tech inventors also developed a method for identifying potential CRISPR-Cas9 off-target sites and facilitating their testing. The method enables searching genomes for potential off-target sites based on the user-supplied guide strand and input parameters. The method identifies potential off-target sites with mismatched bases and, unlike other methods, insertions or deletions when compared with the guide strand. The method aids in the identification and quantification of CRISPR-Cas induced off-target cleavage in cells. A search algorithm can scan a genome in seconds and provides web output in table format, with mismatches to the aligned query sequences marked in red. Links are provided to the University of California at Santa Cruz (UCSC) genome browser for each on-target and possible off-target locations to provide additional information on the site and flanking regions. In addition, all results are available for download to an Excel spreadsheet, allowing further analysis, sorting, and oligonucleotide ordering.","
Provides exhaustive genomic searches for off-target sites due to mismatches, deletions, and insertions
Provides primers for experimental validation of predicted off-target sites
Facilitates experimental testing using assays or deep sequencing of potential off-target sites given in the output

Automatically designs primers to enable facile gel separation of the uncleaved and cleavage bands
Includes the genomic reference sequence for comparison to sequencing results



 ","
Facilitating and creating model systems for research and study of human disease and for sequencing potential off-target mutations
Computational methods to identify, predict, and reduce off-target effects and unintended modifications at off-target sites during genome editing experiments

 ",Biotechnology,"Gang Bao,Thomas J. Cradick,Peng Qiu",3/19/2019,U.S. Application Filed,"US20190295689
US20200058373A1
US10354746B2
",,Biotechnology,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recQGQ0ubYPwdMfy3,6478- A Method for Exhaustive CRISPR Off-Target Analysis ,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
6480,Self-Assembling Peptides for Cell and   Notch-Ligand Delivery ," Self-assembling peptides that form hydrogels comprising peptide sequences for the activation of signaling pathways

Researchers at Georgia Tech Research Corporation and Emory University have discovered self-assembling peptides that form hydrogels comprising peptide sequences for the activation of signaling pathways. The hydrogel polypeptide and the recombinant polypeptide are 1.5% to 2.5% by weight to volume of the hydrogel.  The hydrogel is comprised of a stem cell, progenitor cell, cardiac stem cell, cardiac progenitor cell, bone marrow derived cell, or mesenchymal stem cell. The technology also includes methods of treating or preventing cardiovascular disease by administering an effective amount of a composition comprising cells to a subject in need.  The composition is administered by injection into cardiac tissue or pericardium, or infusion into the circulatory system, or by implanting a hydrogel within or adjacent to cardiac tissue or cells. 
","Researchers at Georgia Tech Research Corporation and Emory University have discovered self-assembling peptides that form hydrogels comprising peptide sequences for the activation of signaling pathways. The hydrogel polypeptide and the recombinant polypeptide are 1.5% to 2.5% by weight to volume of the hydrogel.  The hydrogel is comprised of a stem cell, progenitor cell, cardiac stem cell, cardiac progenitor cell, bone marrow derived cell, or mesenchymal stem cell. The technology also includes methods of treating or preventing cardiovascular disease by administering an effective amount of a composition comprising cells to a subject in need.  The composition is administered by injection into cardiac tissue or pericardium, or infusion into the circulatory system, or by implanting a hydrogel within or adjacent to cardiac tissue or cells. ","
 Hydrogels are biocompatible, easy to modify and biodegradable 
Could be applied in a more platform-like manner by incorporating other peptides to repair cardiac or other tissues
The peptide sequence activates signaling of pathways  improving the growth or replication of tissue or cells 
","
Treat diseases or conditions:

coronary heart disease
arteriosclerosis
ischemic heart disease
myocardial infarction
congestive heart failure  


",Pharmaceuticals,"Michael E. Davis,Archana V. Boopathy",8/18/2019,U.S. Patent Issued,US9585915B2,,Pharmaceuticals,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recBNUM3y3wshQDFC,6480- Self-Assembling Peptides for Cell and   Notch-Ligand Delivery ,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
6491,MRI Compatible 3D Intracardaic Echography Catheter and System ,"An ultra-miniature, intra-cardiac imaging system that provides real-time, full-volume 3D ultrasound.
Georgia Tech inventors have designed an ultra-miniature, intra-cardiac imaging system that provides real-time, full-volume 3D ultrasound.The system integrates full 3D transmit and low noise receive front end electronics, as well as radio frequency output multiplexing on a single silicone. The design can be implemented into a low profile steerable intra-cardiac catheter for operation under MRI or x-ray guidance. The proposed system enables real-time full-volume visualization of cardiac structures while avoiding radiation exposure. Enhanced visualization and catheter manipulation will simplify and shorten current procedures to improve success, reduce complications, and decrease costs. It can also enable new procedures not currently possible without surgery.
",,"
Provides real-time full-volume visualization of cardiac structures
Enhances image guidance of complex catheter-based cardiovascular treatments
Avoids radiation exposure
Allows current procedures to be performed more safely and efficiently
Enables novel procedures that otherwise might require surgical repair.
","
Ultrasound imaging systems
","Medical Devices,Diagnostics","F. Levent Degertekin,Coskun Tekes,Maysam Ghovanloo,Wasequr Rashid",8/25/2019,U.S. Patent Issued,US10123768B2,,"Medical Devices,Diagnostics",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recOtcHhnsJclU44i,6491- MRI Compatible 3D Intracardaic Echography Catheter and System ,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
6492,Dual-Polarized Antenna for OFDM," Dual-polarized antenna in an OFDM configuration.
Georgia Tech inventors have invented an improved dual-polarized antenna in an OFDM configuration. The invention focuses on reducing an impairment called Polarization Mode Dispersion (PMD) that occurs when OFDM techniques are used in communication devices. By enabling pre-distortion across subcarriers of the transmitted OFDM signal, PMD can be reduced and an associated aspect called Polarization Dependent loss (PDL) advantageously used to improve overall communications capability.  Using the techniques proposed in this invention, the pre-distorted signal captured at the receiver shows improved performance, such as signal power maximization and reduced dispersion, while limiting negative influences on the received signal such as fading. The range of reception of the pre-distorted signal is also improved while simultaneously enhancing the ability to distinguish between signals that are spaced closely together (i.e. signal separation enhancement) and reducing interference. In summary, the PDL that would be present in the signal when it reaches the receiver is controlled (i.e. lowered) by the polarization pre-distortion of the transmitted signal along with maximizing the power of the signal that is being received. This helps in obtaining better data transmission at lower power consumption and more efficient use of the bandwidth to transmit signals wirelessly.
","Georgia Tech inventors have invented an improved dual-polarized antenna in an OFDM configuration. The invention focuses on reducing an impairment called Polarization Mode Dispersion (PMD) that occurs when OFDM techniques are used in communication devices. By enabling pre-distortion across subcarriers of the transmitted OFDM signal, PMD can be reduced and an associated aspect called Polarization Dependent loss (PDL) advantageously used to improve overall communications capability.  Using the techniques proposed in this invention, the pre-distorted signal captured at the receiver shows improved performance, such as signal power maximization and reduced dispersion, while limiting negative influences on the received signal such as fading. The range of reception of the pre-distorted signal is also improved while simultaneously enhancing the ability to distinguish between signals that are spaced closely together (i.e. signal separation enhancement) and reducing interference. In summary, the PDL that would be present in the signal when it reaches the receiver is controlled (i.e. lowered) by the polarization pre-distortion of the transmitted signal along with maximizing the power of the signal that is being received. This helps in obtaining better data transmission at lower power consumption and more efficient use of the bandwidth to transmit signals wirelessly.","
Assists wireless devices conform to power transmission limits that normally accompany FCC transmit mask rules
Power maximization and substantial gain in Signal-Noise Ratio at the receiver by combating fading on a subcarrier-by-subcarrier basis
Minimal signal loss within the channel for each subcarrier through the use of polarization control
Reduced or zero dispersion in the received signal
","Wireless devices:

Cellular phones
Broadband devices used for Wi-Fi and WiMAX
Software Defined Radio (SDR)
Cognitive and Multiple Input Multiple Output (MIMO) systems
","Networks,Software,Antennas,Signal Processing,Wireless","Thomas Pratt,Brett T. Walkenhorst",7/29/2019,U.S. Patent Issued,US9325436B2,,"Networks,Software,Antennas,Signal Processing,Wireless",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recxQOCjjPoH9uUWg,6492- Dual-Polarized Antenna for OFDM,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
6522,Ribonucleotide-Capture Method,"A method to capture sites of rNMP incorporation in genomic DNA
Inventors at Georgia Tech and the University of Colorado have developed a method to capture sites of rNMP incorporation in genomic DNA. The method allows the analysis of the sites of rNMP incorporation with high-throughput sequencing and identification of the profile of rNMP incorporation in genomic DNA.
",Inventors at Georgia Tech and the University of Colorado have developed a method to capture sites of rNMP incorporation in genomic DNA. The method allows the analysis of the sites of rNMP incorporation with high-throughput sequencing and identification of the profile of rNMP incorporation in genomic DNA.,"
Enables the mapping of precise-genome wide positions of rNMPs incorporated in genomic DNA
Results in sensitive and specific identification and mapping of rNMPs
Could be used for further understanding of the biological implication and consequences of rNMP incorporation in DNA
Provides a platform for a broad range of research efforts in molecular biology
","
Molecular biology applications
Commercial kit for mapping rNMPs in any genomic DNA
In-depth understanding of biological implications of rNMP insertions in DNA
Determine if genomic maps of rNMPs can serve as biomarkers for human disease
","Diagnostics,Medical Devices,Research Tools",Francesca Storici,3/19/2019,,,,"Diagnostics,Medical Devices,Research Tools",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recLHeyMrL2SS9obK,6522- Ribonucleotide-Capture Method,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
6535,Chemotaxis Bacterial Cell Separation and Preconcentration,"Microfluidic device for the quick detection and study of live bacteria
Researchers at Georgia Tech developed a microfluidic device that allows the study of chemotaxis and even detection of live and viable bacteria.  A combination of microfluidic channels, nitrocellulose membrane, and chemical gradients allows for the analysis of bacterial movement and the detection of viable bacteria quickly, directly, and cheaply.  The device can create a linear chemical gradient in less than 20 minutes.  Importantly, the stability of this gradient is independent of the inflow of fluid. A positive (nutrient) or negative (noxious chemical) stimulant can then be introduced and the motility response of any live bacteria present can be detected and directly observed. Due to the designs of the chamber, movement of bacteria is solely caused by chemotaxis and not the simple flow of fluid.
","Researchers at Georgia Tech developed a microfluidic device that allows the study of chemotaxis and even detection of live and viable bacteria.  A combination of microfluidic channels, nitrocellulose membrane, and chemical gradients allows for the analysis of bacterial movement and the detection of viable bacteria quickly, directly, and cheaply.  The device can create a linear chemical gradient in less than 20 minutes.  Importantly, the stability of this gradient is independent of the inflow of fluid. A positive (nutrient) or negative (noxious chemical) stimulant can then be introduced and the motility response of any live bacteria present can be detected and directly observed. Due to the designs of the chamber, movement of bacteria is solely caused by chemotaxis and not the simple flow of fluid.","
Ease-to-use – Sensor design is simple and device is self-powered
Versatile – Allows detection of: NOx, SOx, H2S, CH4, CO, CO2, H2O, HCL, NH3, PH3, toluene, and mercaptons
Reliable – Design allows analysis with low power consumption at high temperatures
Innovative – Self-calibrating sensor system that includes wireless telemetry
","
To study chemotaxis
Detection/presence of live bacteria
Food safety industry
Oncology
","Diagnostics,Medical Devices,Biological","Peter J. Hesketh,Alireza Mahdavifar,Douglas Britton,Jie Xu",3/19/2019,,,,"Diagnostics,Medical Devices,Biological",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/rec1qGoezgbxTLJG8,6535- Chemotaxis Bacterial Cell Separation and Preconcentration,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
6543,Joule Heating and Carbon Fibers,"A process for stabilizing carbon composite fibers that is more energy efficient
Georgia Tech inventors have developed a process to locally heat fibers without heating the surroundings.  These fibers are produced from a composite of polyacrylonitrile (PAN) and carbon nanotubes (CNT).  This process utilizes the conductive properties of the CNT portion of the composite fibers by directly applying an electrical current to the composite fiber itself, and thus allowing the fibers to be stabilized in air.  This allows for significant energy savings compared to current stabilization processes because energy is not wasted on heating the surroundings.

Additionally, this process can be applied to a variety of materials containing carbon nanotubes and graphene, resulting in many options for the composition of the copolymer.
","Georgia Tech inventors have developed a process to locally heat fibers without heating the surroundings.  These fibers are produced from a composite of polyacrylonitrile (PAN) and carbon nanotubes (CNT).  This process utilizes the conductive properties of the CNT portion of the composite fibers by directly applying an electrical current to the composite fiber itself, and thus allowing the fibers to be stabilized in air.  This allows for significant energy savings compared to current stabilization processes because energy is not wasted on heating the surroundings.Additionally, this process can be applied to a variety of materials containing carbon nanotubes and graphene, resulting in many options for the composition of the copolymer.","
Energy Efficient – Heat is applied locally rather than to the fibers and the surroundings
Conductive Carbon Fibers – Due to the inclusion of CNT materials
Versatile – Many carbon materials can be stabilized using this process
Cheaper – Energy is not wasted
Faster – Locally applying heat results in a faster stabilization process
","
Electronics and Electromagnetic devices
Energy Storage
Automobile and vehicle manufacturing
Sporting goods
","Polymers/Membranes,Electronic Devices,Storage,Automotive","Satish Kumar,An-Ting Chien",3/19/2019,U.S. Patent Issued,US9409337B2,,"Polymers/Membranes,Electronic Devices,Storage,Automotive",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recT7kxeAhqK4J6CC,6543- Joule Heating and Carbon Fibers,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
6573,Chip-Scale Electrochemical Double-Layer (ECDL) Supercapacitors,"Using embedded carbon nanotubes to provide high-power energy storage for large and small electronic systems
This novel chip-scale electrochemical double-layer (ECDL) supercapacitor uses carbon nanotubes to provide high-power energy storage for low-volume and low-weight microelectronics systems. Traditional ECDL approaches that utilize activated carbon often have limitations imposed by the structure of their pores. Georgia Tech’s nanostructured carbon–based ECDL electrodes offer improved performance due to their high surface area, high conductivity, increased porosity, and options for functionalization that enhance pseudocapacitance (i.e., electrochemical storage of electricity).

Utilizing 3D space, Georgia Tech’s capacitor is built between two metal contacts. Arrays of graphene functionalized carbon nanotubes are grown within two etched silicon wafers that are fixed to each other. The wafers form an enclosed capacitive cell filled with electrolyte and carbon nanotubes that are firmly adhered to a metallic conduction layer and interconnected with the wafer-scale circuitry. This graphene-based technology can hold the equivalent energy of a lithium battery, addressing the rising need for high-energy capacitors.

These nanostructured ECDL capacitors can potentially meet the large-scale energy needs of electric vehicles, electromechanical actuators, and portable power supplies as well smaller scale needs of microelectronics systems. 
","This novel chip-scale electrochemical double-layer (ECDL) supercapacitor uses carbon nanotubes to provide high-power energy storage for low-volume and low-weight microelectronics systems. Traditional ECDL approaches that utilize activated carbon often have limitations imposed by the structure of their pores. Georgia Tech’s nanostructured carbon–based ECDL electrodes offer improved performance due to their high surface area, high conductivity, increased porosity, and options for functionalization that enhance pseudocapacitance (i.e., electrochemical storage of electricity).Utilizing 3D space, Georgia Tech’s capacitor is built between two metal contacts. Arrays of graphene functionalized carbon nanotubes are grown within two etched silicon wafers that are fixed to each other. The wafers form an enclosed capacitive cell filled with electrolyte and carbon nanotubes that are firmly adhered to a metallic conduction layer and interconnected with the wafer-scale circuitry. This graphene-based technology can hold the equivalent energy of a lithium battery, addressing the rising need for high-energy capacitors.These nanostructured ECDL capacitors can potentially meet the large-scale energy needs of electric vehicles, electromechanical actuators, and portable power supplies as well smaller scale needs of microelectronics systems. ","
Decreased size: Minimizes space that does not contribute to volumetric density and is drastically smaller than conventional ECDL capacitors, allowing capacitor-dependent devices to shrink considerably
High power: Achieves gravimetric energy densities of over 100 watt-hours per kilogram
Improved performance: The vertically aligned graphene-functionalized carbon nanotubes Offers high porosity and surface area for improved pseudocapacitance by vertically aligning graphene-functionalized nanotubes
Increased capacity: Uses atomic layer deposition processes that can create conformal pseudocapacitive coatings to greatly increase overall capacity
Simple fabrication: Uses process that is compatible with traditional microelectronics approaches
Versatile: Enables structures to be constructed in virtually any manner suitable for application to microelectronics
","Small-scale energy needs (e.g., microelectronics systems):

Pulsed wireless communication
Embedded sensors
Smart structures
Wearable electronics and smart textiles

Large-scale energy needs:

Electric vehicles
Electromechanical actuators
Portable power supplies
","Nanomaterials,Components,MEMS/NEMS,Semiconductors,Storage",William Judson Ready,12/1/2021,U.S. Patent Issued,"US9892863B2
US10249444B2
WO2015183762A1

",,"Nanomaterials,Components,MEMS/NEMS,Semiconductors,Storage",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recn5DQ8YBtc3kDVu,6573- Chip-Scale Electrochemical Double-Layer (ECDL) Supercapacitors,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
